vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,AE,202032,0.3431332384455867,2020,8,0.015625,1.0169491525423728,0.47058823529411764,0.588235294117647,True
MEDIUM LOW,AE,202037,0.3431332384455867,2020,9,0.015625,1.0169491525423728,2.5294117647058827,0.588235294117647,True
MEDIUM LOW,AE,202038,0.3431332384455867,2020,9,0.015625,1.0169491525423728,0.2941176470588235,0.588235294117647,True
MEDIUM LOW,AE,202044,0.3431332384455867,2020,10,0.015625,1.0169491525423728,1.823529411764706,0.588235294117647,True
MEDIUM LOW,AE,202045,0.3431332384455867,2020,11,0.015625,1.0169491525423728,0.1764705882352941,0.588235294117647,True
MEDIUM LOW,AE,202047,0.3431332384455867,2020,11,0.015625,1.0169491525423728,1.7352941176470587,0.588235294117647,True
MEDIUM LOW,AE,202049,0.3431332384455867,2020,12,0.015625,1.0169491525423728,0.47058823529411764,0.588235294117647,True
MEDIUM LOW,AE,202052,0.3431332384455867,2020,12,0.015625,1.0169491525423728,0.9999999999999999,0.588235294117647,True
MEDIUM LOW,AE,202103,0.3431332384455867,2021,1,0.015625,1.0169491525423728,1.176470588235294,1.176470588235294,True
MEDIUM LOW,AE,202111,0.3431332384455867,2021,3,0.015625,1.0169491525423728,2.2941176470588234,0.588235294117647,True
MEDIUM LOW,AE,202114,0.3431332384455867,2021,4,0.015625,1.0169491525423728,1.4705882352941175,0.588235294117647,False
MEDIUM LOW,AE,202115,0.3431332384455867,2021,4,0.015625,1.0169491525423728,1.2352941176470587,0.588235294117647,False
MEDIUM LOW,AE,202116,0.3431332384455867,2021,4,0.015625,1.0169491525423728,1.8235294117647058,0.588235294117647,False
MEDIUM LOW,AE,202117,0.3431332384455867,2021,4,0.015625,1.0169491525423728,1.1176470588235292,0.588235294117647,False
MEDIUM LOW,GI,202010,0.39839760781514627,2020,3,0.1875,0.5677966101694916,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GI,202011,0.39839760781514627,2020,3,0.1875,0.5677966101694916,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GI,202022,0.39839760781514627,2020,5,0.1875,0.7097457627118644,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GI,202045,0.39839760781514627,2020,11,0.1875,0.7203389830508474,2.0588235294117645,0.588235294117647,True
MEDIUM LOW,GI,202046,0.39839760781514627,2020,11,0.1875,0.7203389830508474,1.9705882352941175,1.176470588235294,True
MEDIUM LOW,GI,202105,0.39839760781514627,2021,2,0.1875,0.7203389830508474,0.23529411764705882,0.588235294117647,True
MEDIUM LOW,GI,202113,0.39839760781514627,2021,4,0.1875,0.7203389830508474,0.9705882352941175,0.588235294117647,False
MEDIUM LOW,GI,202115,0.39839760781514627,2021,4,0.1875,0.7203389830508474,1.2941176470588236,1.176470588235294,False
